Sample	Cutotype
LOR011C	Cutotype 1
LOR034C	Cutotype 1
LOR055C	Cutotype 1
LOR072C	Cutotype 1
LOR082C	Cutotype 1
LOR101C	Cutotype 1
LOR202C	Cutotype 1
LOR216C	Cutotype 1
LOR217C	Cutotype 1
LOR218C	Cutotype 1
LOR219C	Cutotype 1
LOR226C	Cutotype 1
LOR227C	Cutotype 1
LOR228C	Cutotype 1
LOR238C	Cutotype 1
LOR240C	Cutotype 1
LOR258C	Cutotype 1
LOR264C	Cutotype 1
LOR016C	Cutotype 2
LOR019C	Cutotype 2
LOR026C	Cutotype 2
LOR036C	Cutotype 2
LOR054C	Cutotype 2
LOR060C	Cutotype 2
LOR061C	Cutotype 2
LOR074C	Cutotype 2
LOR078C	Cutotype 2
LOR090C	Cutotype 2
LOR098C	Cutotype 2
LOR222C	Cutotype 2
LOR242C	Cutotype 2
LOR243C	Cutotype 2
LOR282C	Cutotype 2
LOR284C	Cutotype 2
LOR295C	Cutotype 2
